dialogue_id,services,turn_num,speaker,utterance,active_intents,slot_values
PMUL3071.json,attraction|hotel,4,USER,"Yes, I need information about the Gonville Hotel, please.",hotel:find_hotel,hotel.hotel-name=gonville hotel|attraction.attraction-name=adc theatre
PMUL3071.json,attraction|hotel,5,SYSTEM,it is an expensive hotel in the centre with free wifi and parking. do you need their contact?,,
PMUL3071.json,attraction|hotel,6,USER,"Well, I'd like to book a room for 5 people, beginning on Friday for 5 days. Can you help me with that?",hotel:book_hotel,hotel.hotel-bookday=friday|hotel.hotel-bookpeople=5|hotel.hotel-bookstay=5|hotel.hotel-name=gonville hotel|attraction.attraction-name=adc theatre
PMUL3071.json,attraction|hotel,7,SYSTEM,Of course! I just booked the room for you for 5 days beginning on Friday. The reference number is 7WB751AK . Is there anything else I can help you with?,,
PMUL3071.json,attraction|hotel,8,USER,"Thank you very much, I think that that will be all!",,hotel.hotel-bookday=friday|hotel.hotel-bookpeople=5|hotel.hotel-bookstay=5|hotel.hotel-name=gonville hotel|attraction.attraction-name=adc theatre
PMUL3071.json,attraction|hotel,9,SYSTEM,Thank you for using Cambridge TownInfo centre! Have a great rest of your day!,,
MUL0161.json,restaurant|taxi|hotel,0,USER,I'm looking for an expensive restaurant in the center of town.,restaurant:find_restaurant|hotel:find_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-pricerange=expensive
MUL0161.json,restaurant|taxi|hotel,1,SYSTEM,Would you be interested in The Cambridge Chop House? It is a british cuisine restaurant located in the centre of town.,,
MUL0161.json,restaurant|taxi|hotel,2,USER,"thank you, I hope its in the expensive price range. and if you could give me the phone number that would be great",restaurant:find_restaurant|taxi:find_taxi|hotel:find_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-pricerange=expensive
MUL0161.json,restaurant|taxi|hotel,3,SYSTEM,"Yes, it's expensive. Phone number is 01223359506.",,
MUL0161.json,restaurant|taxi|hotel,4,USER,I need to book a table for 1 person at 16:45 on friday.,restaurant:book_restaurant|hotel:find_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=16:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive
MUL0161.json,restaurant|taxi|hotel,5,SYSTEM,That booking is unsuccessful. Does another time/day work?,,
MUL0161.json,restaurant|taxi|hotel,6,USER,Yes. How about 15:45 on Friday instead?,restaurant:book_restaurant|taxi:find_taxi|hotel:find_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=15:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive
MUL0161.json,restaurant|taxi|hotel,7,SYSTEM,Booking was successful. The table will be reserved for 15 minutes. Reference number is : 10P0LEVH .. Anything else today?,,
MUL0161.json,restaurant|taxi|hotel,8,USER,I'm also looking for a place to stay. Ideally a hotel with free wifi and parking that is also expensive.,restaurant:book_restaurant|hotel:find_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=15:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive|hotel.hotel-internet=yes|hotel.hotel-parking=yes|hotel.hotel-pricerange=expensive|hotel.hotel-type=hotel
MUL0161.json,restaurant|taxi|hotel,9,SYSTEM,"If you're looking to stay in the town centre area, there is the gonville hotel. It has free parking and internet and is rated 3 stars. Would you like to book?",,
MUL0161.json,restaurant|taxi|hotel,10,USER,"Great can you book it for one person, for 4 nights starting friday?",restaurant:book_restaurant|hotel:book_hotel,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=15:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive|hotel.hotel-bookday=friday|hotel.hotel-bookpeople=1|hotel.hotel-bookstay=4|hotel.hotel-internet=yes|hotel.hotel-name=gonville hotel|hotel.hotel-parking=yes|hotel.hotel-pricerange=expensive|hotel.hotel-type=hotel
MUL0161.json,restaurant|taxi|hotel,11,SYSTEM,Your booking was successful starting Friday for four nights. Your reference number is DRW9QM8S . Can I help you with anything else?,,
MUL0161.json,restaurant|taxi|hotel,12,USER,I also need to book a taxi to commute between the two. I'd like to arrive prior to the 15:45 time.,taxi:find_taxi|restaurant:book_restaurant,taxi.taxi-arriveby=15:45|taxi.taxi-departure=gonville hotel|taxi.taxi-destination=cambridge chop house|restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=15:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive|hotel.hotel-bookday=friday|hotel.hotel-bookpeople=1|hotel.hotel-bookstay=4|hotel.hotel-internet=yes|hotel.hotel-name=gonville hotel|hotel.hotel-parking=yes|hotel.hotel-pricerange=expensive|hotel.hotel-type=hotel
MUL0161.json,restaurant|taxi|hotel,13,SYSTEM,"Your booking is complete, a grey bmw will be picking you up, the contact number is 07034136573. Can I assist you with anything further today?",,
MUL0161.json,restaurant|taxi|hotel,14,USER,"No, thanks for your help.",,taxi.taxi-arriveby=15:45|taxi.taxi-departure=gonville hotel|taxi.taxi-destination=cambridge chop house|restaurant.restaurant-area=centre|restaurant.restaurant-bookday=friday|restaurant.restaurant-bookpeople=1|restaurant.restaurant-booktime=15:45|restaurant.restaurant-name=cambridge chop house|restaurant.restaurant-pricerange=expensive|hotel.hotel-bookday=friday|hotel.hotel-bookpeople=1|hotel.hotel-bookstay=4|hotel.hotel-internet=yes|hotel.hotel-name=gonville hotel|hotel.hotel-parking=yes|hotel.hotel-pricerange=expensive|hotel.hotel-type=hotel
MUL0161.json,restaurant|taxi|hotel,15,SYSTEM,"You are welcome, goodbye!",,
PMUL4369.json,bus|hotel,0,USER,How much does it cost to take the bus in Cambridge?,bus:find_bus|train:find_train,bus.bus-departure=cambridge
PMUL4369.json,bus|hotel,1,SYSTEM,Where will you be traveling to?,,
PMUL4369.json,bus|hotel,2,USER,I will be traveling to london.,bus:find_bus|train:find_train,"bus.bus-departure=cambridge|bus.bus-destination=london kings cross,london"
PMUL4369.json,bus|hotel,3,SYSTEM,The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.,,
PMUL4369.json,bus|hotel,4,USER,I am also looking for a hotel in the west side of Cambridge. Can you help me?,hotel:find_hotel|train:find_train,"bus.bus-departure=cambridge|bus.bus-destination=london kings cross,london|hotel.hotel-area=west"
PMUL4369.json,bus|hotel,5,SYSTEM,There are a few to choose from. Do you prefer a hotel or a guesthouse?,,
PMUL4369.json,bus|hotel,6,USER,"I want a hotel on the west side that doesn't have to include internet. If no internet, what about free wifi?",hotel:find_hotel,"bus.bus-departure=cambridge|bus.bus-destination=london kings cross,london|hotel.hotel-area=west"
PMUL4369.json,bus|hotel,7,SYSTEM,Unfortunately there are no hotels meeting your criteria. Would you like me to look in another part of town?,,
PMUL4369.json,bus|hotel,8,USER,Are you sure that there are no hotels on the west side of town? With or without internet?,hotel:find_hotel,"bus.bus-departure=cambridge|bus.bus-destination=london kings cross,london|hotel.hotel-area=west"
PMUL4369.json,bus|hotel,9,SYSTEM,There are four. Do you have a price range in mind?,,
PMUL4434.json,restaurant|attraction|train|hotel,0,USER,Can you find me a place in the centre of town?,restaurant:find_restaurant|hotel:find_hotel|attraction:find_attraction,restaurant.restaurant-area=centre|hotel.hotel-area=centre|attraction.attraction-area=centre
PMUL4434.json,restaurant|attraction|train|hotel,1,SYSTEM,We have lots of attractions! Something more specific you are looking for?,,
PMUL4434.json,restaurant|attraction|train|hotel,2,USER,What do you recommend? I will need the address.,attraction:find_attraction,restaurant.restaurant-area=centre|hotel.hotel-area=centre|attraction.attraction-area=centre
PMUL4434.json,restaurant|attraction|train|hotel,3,SYSTEM,How about all saints church? The address is jesus lane.,,
PMUL4434.json,restaurant|attraction|train|hotel,4,USER,Perfect. I also need a train departing from cambridge and arriving by 17:30.,train:find_train,restaurant.restaurant-area=centre|hotel.hotel-area=centre|attraction.attraction-area=centre|train.train-arriveby=17:30|train.train-departure=cambridge
PMUL4434.json,restaurant|attraction|train|hotel,5,SYSTEM,"There are many trains that meet your criteria. Would you like to narrow it down by day, destination, or departure time?",,
PMUL4434.json,restaurant|attraction|train|hotel,6,USER,"Yes, Tuesday going to London Liverpool Street.",train:find_train,restaurant.restaurant-area=centre|hotel.hotel-area=centre|attraction.attraction-area=centre|train.train-arriveby=17:30|train.train-day=tuesday|train.train-departure=cambridge|train.train-destination=london liverpool street
PMUL4434.json,restaurant|attraction|train|hotel,7,SYSTEM,I have a train that arrives at 17:27. Could I book that for you?,,
PMUL4434.json,restaurant|attraction|train|hotel,8,USER,"Yes, please. I need a booking for 2 people. Will you send me the reference number?",train:book_train,restaurant.restaurant-area=centre|hotel.hotel-area=centre|attraction.attraction-area=centre|train.train-arriveby=17:30|train.train-bookpeople=2|train.train-day=tuesday|train.train-departure=cambridge|train.train-destination=london liverpool street
PMUL4434.json,restaurant|attraction|train|hotel,9,SYSTEM,I successful booked your train the total fee is 33.2 GBP payable at the station and the reference number is : VJVYH5LC . May I further assist you.,,
SNG1130.json,attraction,0,USER,Are there any places to go in the town centre?,attraction:find_attraction,attraction.attraction-area=centre
SNG1130.json,attraction,1,SYSTEM,"there are plenty, anything in particular you are looking for?",,
SNG1130.json,attraction,2,USER,"Not especially, just kicking around the town centre for a few hours and looking for something to do.",attraction:find_attraction,attraction.attraction-area=centre
SNG1130.json,attraction,3,SYSTEM,Are you sure? We have so many different places to go - I'd love to get some more input from you.,,
SNG1130.json,attraction,4,USER,"I just want something to do in the centre of town, can you tell me what sort of places there are?",attraction:find_attraction,attraction.attraction-area=centre
SNG1130.json,attraction,5,SYSTEM,"Sure. There is architecture, boating, the cinema, colleges, a concerthall, museums, nightclubs, parks, a swimmingpool and theatres.",,
SNG1130.json,attraction,6,USER,Can you recommend a nightclub?,attraction:find_attraction,attraction.attraction-area=centre|attraction.attraction-type=nightclub
SNG1130.json,attraction,7,SYSTEM,Club salsa is a nightclub in centre. Would you like their contact information?,,
SNG1130.json,attraction,8,USER,"Yes please. What's its entrance fee, contact number, and postcode?",attraction:find_attraction,attraction.attraction-area=centre|attraction.attraction-name=club salsa|attraction.attraction-type=nightclub
SNG1130.json,attraction,9,SYSTEM,"Club Salsa has an entrance fee of 5 pounds. Their postcode is cb12jb, and their phone number is 07782218745. Is there anything else I can help you with?",,
SNG1130.json,attraction,10,USER,"No that is it, adios.",,attraction.attraction-area=centre|attraction.attraction-name=club salsa|attraction.attraction-type=nightclub
SNG1130.json,attraction,11,SYSTEM,"Have a great day, good bye.",,
SNG1130.json,attraction,12,USER,Thanks for your help.,,attraction.attraction-area=centre|attraction.attraction-name=club salsa|attraction.attraction-type=nightclub
SNG1130.json,attraction,13,SYSTEM,Give us a call should you need anything .,,
PMUL3908.json,bus|train|hotel,0,USER,I am looking for information in Cambridge,bus:find_bus|train:find_train,bus.bus-destination=cambridge
PMUL3908.json,bus|train|hotel,1,SYSTEM,What type of information do you need help with?,,
PMUL3908.json,bus|train|hotel,2,USER,"I'm looking for a hotel called, Archway House.",hotel:find_hotel,bus.bus-destination=cambridge|hotel.hotel-name=archway house
PMUL3908.json,bus|train|hotel,3,SYSTEM,It is in the moderate price range at 52 gilbert road,,
PMUL3908.json,bus|train|hotel,4,USER,Alright. I'd like a room on saturday for 4 nights. 2 people will be staying.,hotel:book_hotel|train:find_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house
PMUL3908.json,bus|train|hotel,5,SYSTEM,Booking was successful.Reference number is : S9V74O1G . can i be of any help again?,,
PMUL3908.json,bus|train|hotel,6,USER,"I will also need a train for Saturday, leaving after 13:45.",hotel:book_hotel|train:find_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,7,SYSTEM,"Sure, I can help you with that. Where would you like to travel to?",,
PMUL3908.json,bus|train|hotel,8,USER,Going to Cambridge.,train:find_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-day=saturday|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,9,SYSTEM,Where will you be departing from?,,
PMUL3908.json,bus|train|hotel,10,USER,I will be departing from London Kings Cross.,train:find_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-day=saturday|train.train-departure=london kings cross|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,11,SYSTEM,And for haw many people ?,,
PMUL3908.json,bus|train|hotel,12,USER,There will be 2 people.,train:book_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-bookpeople=2|train.train-day=saturday|train.train-departure=london kings cross|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,13,SYSTEM,I have train TR4101 that leaves at 15:17 and arrives at 18:08. Would you like me to book it for you?,,
PMUL3908.json,bus|train|hotel,14,USER,Yes please. Could you also provide me the reference number?,train:book_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-bookpeople=2|train.train-day=saturday|train.train-departure=london kings cross|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,15,SYSTEM,Iwillgetthatreferencenumber for you.,,
PMUL3908.json,bus|train|hotel,16,USER,"Ok, thank you.",train:book_train,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-bookpeople=2|train.train-day=saturday|train.train-departure=london kings cross|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,17,SYSTEM,"Booking was successful, the total fee is 37.76 GBP payable at the station . Reference number is : 6BM4QJXX .",,
PMUL3908.json,bus|train|hotel,18,USER,Great thank you! That's all I needed! Bye!,,bus.bus-destination=cambridge|hotel.hotel-bookday=saturday|hotel.hotel-bookpeople=2|hotel.hotel-bookstay=4|hotel.hotel-name=archway house|train.train-bookpeople=2|train.train-day=saturday|train.train-departure=london kings cross|train.train-destination=cambridge|train.train-leaveat=13:45
PMUL3908.json,bus|train|hotel,19,SYSTEM,You're so welcome! Feel free to come back if you think of anything else you need! Bye!,,
PMUL3000.json,taxi|hotel,0,USER,"Hi, I'm looking for some kind of entertainment in Cambridge?",attraction:find_attraction,
PMUL3000.json,taxi|hotel,1,SYSTEM,Ok! Whale of a time is located at Unit 8 Viking Way Bar Hill on the west side of town. Phone is 01954781018.,,
PMUL3000.json,taxi|hotel,2,USER,"Great, thanks! Do I have any other entertainment options?",attraction:find_attraction,
PMUL3000.json,taxi|hotel,3,SYSTEM,"Yes, there is everything from parks to nightclubs. Several colleges and museums. Holy Trinity Church is a great architectural attraction.",,
PMUL3000.json,taxi|hotel,4,USER,The whale of time sounds great. I also need a place to stay that has free internet and in the west.,hotel:find_hotel,hotel.hotel-area=west|hotel.hotel-internet=yes
PMUL3000.json,taxi|hotel,5,SYSTEM,"Okay, I have 4 options available. Is there a price range or star rating you'd prefer?",,
PMUL3000.json,taxi|hotel,6,USER,A 4 star rating please.,hotel:find_hotel,hotel.hotel-area=west|hotel.hotel-internet=yes|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,7,SYSTEM,"There are 3 options, any preference on pricing?",,
PMUL3000.json,taxi|hotel,8,USER,I would like the moderate price range.,hotel:find_hotel|restaurant:find_restaurant,hotel.hotel-area=west|hotel.hotel-internet=yes|hotel.hotel-pricerange=moderate|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,9,SYSTEM,I'm afraid there is nothing along those lines available. Can I change your search criteria a bit?,,
PMUL3000.json,taxi|hotel,10,USER,Can you try looking in the north?,hotel:find_hotel,hotel.hotel-area=north|hotel.hotel-internet=yes|hotel.hotel-pricerange=moderate|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,11,SYSTEM,How about the avalon it's a 4 star moderately priced hotel in the north.,,
PMUL3000.json,taxi|hotel,12,USER,Perfect. I need 5 nights for 6 people starting on Wednesday. Could I have the reference number after booking?,hotel:book_hotel,hotel.hotel-area=north|hotel.hotel-bookday=wednesday|hotel.hotel-bookpeople=6|hotel.hotel-bookstay=5|hotel.hotel-internet=yes|hotel.hotel-name=avalon|hotel.hotel-pricerange=moderate|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,13,SYSTEM,Booking was successful. Reference number is : BVCGE59G . anything else?,,
PMUL3000.json,taxi|hotel,14,USER,"Yes, I'll need a taxi to get to the hotel from whale of a time. I need it to leave by 06:00",taxi:find_taxi,taxi.taxi-departure=whale of a time|taxi.taxi-destination=avalon|taxi.taxi-leaveat=06:00|hotel.hotel-area=north|hotel.hotel-bookday=wednesday|hotel.hotel-bookpeople=6|hotel.hotel-bookstay=5|hotel.hotel-internet=yes|hotel.hotel-name=avalon|hotel.hotel-pricerange=moderate|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,15,SYSTEM,I have booked a white volvo for you with Contact number: 07201581539. Can I help with anything else today?,,
PMUL3000.json,taxi|hotel,16,USER,"No thanks, that's all I needed. Have a good day.",,taxi.taxi-departure=whale of a time|taxi.taxi-destination=avalon|taxi.taxi-leaveat=06:00|hotel.hotel-area=north|hotel.hotel-bookday=wednesday|hotel.hotel-bookpeople=6|hotel.hotel-bookstay=5|hotel.hotel-internet=yes|hotel.hotel-name=avalon|hotel.hotel-pricerange=moderate|hotel.hotel-stars=4
PMUL3000.json,taxi|hotel,17,SYSTEM,Thank you for contacting us and have a nice day.,,
SNG01177.json,,0,USER,I am looking for the Addenbrookes Hospital,hospital:find_hospital,
SNG01177.json,,1,SYSTEM,"Okay, that hospital is located on Hills Rd, Cambridge. Do you want the phone number?",,
SNG01177.json,,2,USER,Yes the phone number and postcode,hospital:find_hospital,
SNG01177.json,,3,SYSTEM,"Hi, the telephone number to the hospital is 01223245151 and the postcode is CB20QQ",,
SNG01177.json,,4,USER,Thank you for your help.,hospital:find_hospital,
SNG01177.json,,5,SYSTEM,You're welcome. Do you need information regarding a specific department in the hospital?,,
SNG01177.json,,6,USER,"No, thank you. You have given me all the info I need for today.",,
SNG01177.json,,7,SYSTEM,Okay thank you and have a great day!,,
SNG01177.json,,8,USER,You too. I appreciate the assistance.,,
SNG01177.json,,9,SYSTEM,"your welcome, goodbye",,
PMUL3097.json,restaurant|taxi|attraction|train,0,USER,I am looking for an Italian restaurant in the centre of town.,restaurant:find_restaurant,restaurant.restaurant-area=centre|restaurant.restaurant-food=italian
PMUL3097.json,restaurant|taxi|attraction|train,1,SYSTEM,Absolutely. What price range are you looking for?,,
PMUL3097.json,restaurant|taxi|attraction|train,2,USER,I don't really care.,restaurant:find_restaurant,restaurant.restaurant-area=centre|restaurant.restaurant-food=italian|restaurant.restaurant-pricerange=dontcare
PMUL3097.json,restaurant|taxi|attraction|train,3,SYSTEM,stazione restaurant and coffee bar is an italian restaurant in the centre area. would you like me to make you a reservation?,,
PMUL3097.json,restaurant|taxi|attraction|train,4,USER,"Yes please, four people on tuesday at 18:00",restaurant:book_restaurant|taxi:find_taxi,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare
PMUL3097.json,restaurant|taxi|attraction|train,5,SYSTEM,Booking was successful. The table will be reserved for 15 minutes. Reference number is : DL0PXR9G . May I help with anything else ?,,
PMUL3097.json,restaurant|taxi|attraction|train,6,USER,Can you tell me if you happen to have any nightclubs in town?,attraction:find_attraction,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-type=nightclub
PMUL3097.json,restaurant|taxi|attraction|train,7,SYSTEM,yes we have 5 all in the centre of town.,,
PMUL3097.json,restaurant|taxi|attraction|train,8,USER,Great. Can I get the information about one of them?,attraction:find_attraction,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-type=nightclub
PMUL3097.json,restaurant|taxi|attraction|train,9,SYSTEM,"Sure the Ballare costs 5 pounds to get in and is located in the center at Heidelberg Gardens, Lion Yard.",,
PMUL3097.json,restaurant|taxi|attraction|train,10,USER,What is the postcode for that one?,attraction:find_attraction,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-name=ballare|attraction.attraction-type=nightclub
PMUL3097.json,restaurant|taxi|attraction|train,11,SYSTEM,The postcode for the Ballare is cb23na. Would you like any other information?,,
PMUL3097.json,restaurant|taxi|attraction|train,12,USER,I also need a taxi.,taxi:find_taxi,restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-name=ballare|attraction.attraction-type=nightclub
PMUL3097.json,restaurant|taxi|attraction|train,13,SYSTEM,"For the reservation of the taxi, can you tell me your pickup and drop off locations?",,
PMUL3097.json,restaurant|taxi|attraction|train,14,USER,Yes Ely to Cambridge please. Thanks,taxi:find_taxi|train:find_train,taxi.taxi-departure=ely|taxi.taxi-destination=cambridge|restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-name=ballare|attraction.attraction-type=nightclub|train.train-departure=ely|train.train-destination=cambridge
PMUL3097.json,restaurant|taxi|attraction|train,15,SYSTEM,"You want a train from Ely to Cambridge, is this right? I also need a travel date and departure or arrival time.",,
PMUL3097.json,restaurant|taxi|attraction|train,16,USER,"I'm sorry, there's someone talking here and getting me turned around. I'd like a taxi from the nightclub to the restaurant, early enough to make my reservation.",taxi:find_taxi|attraction:find_attraction,taxi.taxi-arriveby=18:00|taxi.taxi-departure=ballare|taxi.taxi-destination=stazione restaurant and coffee bar|restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-name=ballare|attraction.attraction-type=nightclub|train.train-departure=ely|train.train-destination=cambridge
PMUL3097.json,restaurant|taxi|attraction|train,17,SYSTEM,i have booked a yellow volvo with contact 07259480629,,
PMUL3097.json,restaurant|taxi|attraction|train,18,USER,that is it for today thanks.,,taxi.taxi-arriveby=18:00|taxi.taxi-departure=ballare|taxi.taxi-destination=stazione restaurant and coffee bar|restaurant.restaurant-area=centre|restaurant.restaurant-bookday=tuesday|restaurant.restaurant-bookpeople=4|restaurant.restaurant-booktime=18:00|restaurant.restaurant-food=italian|restaurant.restaurant-name=stazione restaurant and coffee bar|restaurant.restaurant-pricerange=dontcare|attraction.attraction-type=nightclub|train.train-departure=ely|train.train-destination=cambridge
PMUL3097.json,restaurant|taxi|attraction|train,19,SYSTEM,You are welcome. Have a marvelous time in Cambridge. Thank you for reaching out to Cambridge TownInfo centre. Goodbye.,,
